RK,Name,Team,P,G
1,Erling Haaland,Manchester City,11,12
2,Mohamed Salah,Liverpool,8,8
3,Vinícius Júnior,Real Madrid,12,7
4,Kylian Mbappé,Paris Saint-Germain,8,7
5,João Mário,Benfica,10,6
6,Olivier Giroud,AC Milan,12,5
7,Rodrygo,Real Madrid,12,5
8,Rafa Silva,Benfica,10,5
9,Mehdi Taremi,FC Porto,7,5
10,Victor Osimhen,Napoli,6,5
11,Robert Lewandowski,Barcelona,5,5
12,Edin Dzeko,Internazionale,13,4
13,Karim Benzema,Real Madrid,10,4
14,Piotr Zielinski,Napoli,10,4
15,Leroy Sané,Bayern Munich,8,4
16,Darwin Núñez,Liverpool,8,4
17,Jude Bellingham,Borussia Dortmund,7,4
18,Lionel Messi,Paris Saint-Germain,7,4
19,Eric Maxim Choupo-Moting,Bayern Munich,7,4
20,Giovanni Simeone,Napoli,7,4
