RK,Name,Team,P,G
1,Erling Haaland,Borussia Dortmund,8,10
2,Kylian Mbappé,Paris Saint-Germain,10,8
3,Karim Benzema,Real Madrid,10,6
4,Mohamed Salah,Liverpool,10,6
5,Neymar,Paris Saint-Germain,9,6
6,Álvaro Morata,Juventus,8,6
7,Youssef En-Nesyri,Sevilla,8,6
8,Olivier Giroud,Chelsea,8,6
9,Marcus Rashford,Manchester United,6,6
10,Sérgio Oliveira,FC Porto,8,5
11,Alassane Pléa,Borussia Monchengladbach,8,5
12,Lionel Messi,Barcelona,6,5
13,Robert Lewandowski,Bayern Munich,6,5
14,Ciro Immobile,Lazio,5,5
15,Timo Werner,Chelsea,12,4
16,Riyad Mahrez,Manchester City,12,4
17,Diogo Jota,Liverpool,9,4
18,Federico Chiesa,Juventus,8,4
19,Eric Maxim Choupo-Moting,Bayern Munich,7,4
20,Cristiano Ronaldo,Juventus,6,4
