RK,Name,Team,P,G
1,Karim Benzema,Real Madrid,12,15
2,Robert Lewandowski,Bayern Munich,10,13
3,Sébastien Haller,Ajax Amsterdam,8,11
4,Mohamed Salah,Liverpool,13,8
5,Riyad Mahrez,Manchester City,12,7
6,Christopher Nkunku,RB Leipzig,6,7
7,Arnaut Danjuma,Villarreal,11,6
8,Leroy Sané,Bayern Munich,10,6
9,Darwin Núñez,Benfica,10,6
10,Kylian Mbappé,Paris Saint-Germain,8,6
11,Cristiano Ronaldo,Manchester United,7,6
12,Sadio Mané,Liverpool,13,5
13,Rodrygo,Real Madrid,11,5
14,Lionel Messi,Paris Saint-Germain,7,5
15,Roberto Firmino,Liverpool,7,5
16,Vinícius Júnior,Real Madrid,13,4
17,Luis Díaz,Liverpool,13,4
18,Thomas Müller,Bayern Munich,10,4
19,Antoine Griezmann,Atlético Madrid,9,4
20,Gabriel Jesus,Manchester City,8,4
