RK,Name,Team,P,G,Season,GoalsPerGame
8,Álvaro Morata,Atlético Madrid,10,5,2023,0.5
9,Phil Foden,Manchester City,8,5,2023,0.625
10,Galeno,FC Porto,7,5,2023,0.7142857142857143
11,Julián Álvarez,Manchester City,7,5,2023,0.7142857142857143
12,Rasmus Højlund,Manchester United,6,5,2023,0.8333333333333334
13,Jude Bellingham,Real Madrid,11,4,2023,0.36363636363636365
14,Bukayo Saka,Arsenal,9,4,2023,0.4444444444444444
15,Leandro Trossard,Arsenal,9,4,2023,0.4444444444444444
16,Loïs Openda,RB Leipzig,8,4,2023,0.5
17,Ciro Immobile,Lazio,8,4,2023,0.5
18,Gabriel Jesus,Arsenal,8,4,2023,0.5
19,Evanilson,FC Porto,7,4,2023,0.5714285714285714
20,Danylo Sikan,Shakhtar Donetsk,6,4,2023,0.6666666666666666
